Fecha,PedidoID,ProductoID,Producto,Categoria,Cantidad,PrecioUnitario,CostoUnitario,Descuento,Canal,Ciudad,VentaBruta,MontoDescuento,VentaNeta,CostoTotal,Utilidad,Anio,Mes,Dia,DiaSemana,Semana,StockActual,StockMinimo,LeadTimeDias,Proveedor,FechaUltimaCompra
2026-07-14,PED029,PROD03,Producto C,Categoría 2,5,55,30,0.0,Web,Chimbote,275,0.0,275.0,150,125.0,2026,7,14,Tuesday,29,18,25,5,Proveedor C,2026-08-12
2026-07-21,PED030,PROD07,Producto G,Categoría 4,7,150,90,0.12,App,Trujillo,1050,126.0,924.0,630,294.0,2026,7,21,Tuesday,30,27,10,12,Proveedor G,2026-07-30
2026-07-28,PED031,PROD05,Producto E,Categoría 3,11,35,18,0.08,Tienda,Santa,385,30.8,354.2,198,156.2,2026,7,28,Tuesday,31,80,25,6,Proveedor E,2026-08-15
2026-08-04,PED032,PROD02,Producto B,Categoría 1,8,120,70,0.05,Web,Lima,960,48.0,912.0,560,352.0,2026,8,4,Tuesday,32,45,20,10,Proveedor B,2026-08-05
2026-08-11,PED033,PROD04,Producto D,Categoría 2,4,200,125,0.15,App,Chimbote,800,120.0,680.0,500,180.0,2026,8,11,Tuesday,33,32,15,14,Proveedor D,2026-07-28
2026-08-18,PED034,PROD01,Producto A,Categoría 1,7,80,45,0.1,Tienda,Trujillo,560,56.0,504.0,315,189.0,2026,8,18,Tuesday,34,120,30,7,Proveedor A,2026-08-10
2026-08-25,PED035,PROD06,Producto F,Categoría 3,5,95,52,0.05,Web,Lima,475,23.75,451.25,260,191.25,2026,8,25,Tuesday,35,14,20,8,Proveedor F,2026-08-01
2026-09-01,PED036,PROD03,Producto C,Categoría 2,12,55,30,0.0,App,Santa,660,0.0,660.0,360,300.0,2026,9,1,Tuesday,36,18,25,5,Proveedor C,2026-08-12
2026-09-08,PED037,PROD07,Producto G,Categoría 4,3,150,90,0.12,Web,Chimbote,450,54.0,396.0,270,126.0,2026,9,8,Tuesday,37,27,10,12,Proveedor G,2026-07-30
2026-09-15,PED038,PROD05,Producto E,Categoría 3,8,35,18,0.08,Tienda,Lima,280,22.400000000000002,257.6,144,113.60000000000002,2026,9,15,Tuesday,38,80,25,6,Proveedor E,2026-08-15
2026-09-22,PED039,PROD02,Producto B,Categoría 1,6,120,70,0.05,App,Trujillo,720,36.0,684.0,420,264.0,2026,9,22,Tuesday,39,45,20,10,Proveedor B,2026-08-05
2026-09-29,PED040,PROD04,Producto D,Categoría 2,2,200,125,0.15,Web,Lima,400,60.0,340.0,250,90.0,2026,9,29,Tuesday,40,32,15,14,Proveedor D,2026-07-28
2026-10-06,PED041,PROD01,Producto A,Categoría 1,10,80,45,0.1,Tienda,Santa,800,80.0,720.0,450,270.0,2026,10,6,Tuesday,41,120,30,7,Proveedor A,2026-08-10
2026-10-13,PED042,PROD06,Producto F,Categoría 3,4,95,52,0.05,App,Chimbote,380,19.0,361.0,208,153.0,2026,10,13,Tuesday,42,14,20,8,Proveedor F,2026-08-01
2026-10-20,PED043,PROD03,Producto C,Categoría 2,9,55,30,0.0,Web,Lima,495,0.0,495.0,270,225.0,2026,10,20,Tuesday,43,18,25,5,Proveedor C,2026-08-12
2026-10-27,PED044,PROD07,Producto G,Categoría 4,5,150,90,0.12,Tienda,Trujillo,750,90.0,660.0,450,210.0,2026,10,27,Tuesday,44,27,10,12,Proveedor G,2026-07-30
2026-11-03,PED045,PROD05,Producto E,Categoría 3,13,35,18,0.08,App,Santa,455,36.4,418.6,234,184.60000000000002,2026,11,3,Tuesday,45,80,25,6,Proveedor E,2026-08-15
2026-11-10,PED046,PROD02,Producto B,Categoría 1,7,120,70,0.05,Web,Lima,840,42.0,798.0,490,308.0,2026,11,10,Tuesday,46,45,20,10,Proveedor B,2026-08-05
2026-11-17,PED047,PROD04,Producto D,Categoría 2,3,200,125,0.15,Tienda,Chimbote,600,90.0,510.0,375,135.0,2026,11,17,Tuesday,47,32,15,14,Proveedor D,2026-07-28
2026-11-24,PED048,PROD01,Producto A,Categoría 1,6,80,45,0.1,App,Trujillo,480,48.0,432.0,270,162.0,2026,11,24,Tuesday,48,120,30,7,Proveedor A,2026-08-10
2026-12-01,PED049,PROD06,Producto F,Categoría 3,8,95,52,0.05,Web,Lima,760,38.0,722.0,416,306.0,2026,12,1,Tuesday,49,14,20,8,Proveedor F,2026-08-01
2026-12-08,PED050,PROD03,Producto C,Categoría 2,4,55,30,0.0,Tienda,Santa,220,0.0,220.0,120,100.0,2026,12,8,Tuesday,50,18,25,5,Proveedor C,2026-08-12
2026-12-15,PED051,PROD07,Producto G,Categoría 4,6,150,90,0.12,App,Chimbote,900,108.0,792.0,540,252.0,2026,12,15,Tuesday,51,27,10,12,Proveedor G,2026-07-30
2026-12-22,PED052,PROD05,Producto E,Categoría 3,10,35,18,0.08,Web,Lima,350,28.0,322.0,180,142.0,2026,12,22,Tuesday,52,80,25,6,Proveedor E,2026-08-15
2026-12-29,PED053,PROD02,Producto B,Categoría 1,5,120,70,0.05,Tienda,Trujillo,600,30.0,570.0,350,220.0,2026,12,29,Tuesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED054,PROD04,Producto D,Categoría 2,7,200,125,0.15,App,Lima,1400,210.0,1190.0,875,315.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED055,PROD01,Producto A,Categoría 1,4,80,45,0.1,Web,Santa,320,32.0,288.0,180,108.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED056,PROD06,Producto F,Categoría 3,9,95,52,0.05,Tienda,Chimbote,855,42.75,812.25,468,344.25,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED057,PROD03,Producto C,Categoría 2,6,55,30,0.0,App,Trujillo,330,0.0,330.0,180,150.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED058,PROD07,Producto G,Categoría 4,4,150,90,0.12,Web,Lima,600,72.0,528.0,360,168.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED059,PROD05,Producto E,Categoría 3,14,35,18,0.08,Tienda,Santa,490,39.2,450.8,252,198.8,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED060,PROD02,Producto B,Categoría 1,8,120,70,0.05,App,Lima,960,48.0,912.0,560,352.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED061,PROD04,Producto D,Categoría 2,5,200,125,0.15,Web,Chimbote,1000,150.0,850.0,625,225.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED062,PROD01,Producto A,Categoría 1,11,80,45,0.1,Tienda,Trujillo,880,88.0,792.0,495,297.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED063,PROD06,Producto F,Categoría 3,3,95,52,0.05,App,Lima,285,14.25,270.75,156,114.75,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED064,PROD03,Producto C,Categoría 2,8,55,30,0.0,Web,Santa,440,0.0,440.0,240,200.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED065,PROD07,Producto G,Categoría 4,5,150,90,0.12,Tienda,Chimbote,750,90.0,660.0,450,210.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED066,PROD05,Producto E,Categoría 3,7,35,18,0.08,App,Lima,245,19.6,225.4,126,99.4,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED067,PROD02,Producto B,Categoría 1,9,120,70,0.05,Web,Trujillo,1080,54.0,1026.0,630,396.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED068,PROD04,Producto D,Categoría 2,2,200,125,0.15,Tienda,Santa,400,60.0,340.0,250,90.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED069,PROD01,Producto A,Categoría 1,8,80,45,0.1,App,Lima,640,64.0,576.0,360,216.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED070,PROD06,Producto F,Categoría 3,6,95,52,0.05,Web,Chimbote,570,28.5,541.5,312,229.5,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED071,PROD03,Producto C,Categoría 2,10,55,30,0.0,Tienda,Trujillo,550,0.0,550.0,300,250.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED072,PROD07,Producto G,Categoría 4,3,150,90,0.12,App,Lima,450,54.0,396.0,270,126.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED073,PROD05,Producto E,Categoría 3,12,35,18,0.08,Web,Santa,420,33.6,386.4,216,170.39999999999998,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED074,PROD02,Producto B,Categoría 1,6,120,70,0.05,Tienda,Chimbote,720,36.0,684.0,420,264.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED075,PROD04,Producto D,Categoría 2,4,200,125,0.15,App,Lima,800,120.0,680.0,500,180.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED076,PROD01,Producto A,Categoría 1,7,80,45,0.1,Web,Trujillo,560,56.0,504.0,315,189.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED077,PROD06,Producto F,Categoría 3,5,95,52,0.05,Tienda,Santa,475,23.75,451.25,260,191.25,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED078,PROD03,Producto C,Categoría 2,9,55,30,0.0,App,Lima,495,0.0,495.0,270,225.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED079,PROD07,Producto G,Categoría 4,4,150,90,0.12,Web,Chimbote,600,72.0,528.0,360,168.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED080,PROD05,Producto E,Categoría 3,10,35,18,0.08,Tienda,Trujillo,350,28.0,322.0,180,142.0,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED081,PROD02,Producto B,Categoría 1,5,120,70,0.05,App,Lima,600,30.0,570.0,350,220.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED082,PROD04,Producto D,Categoría 2,6,200,125,0.15,Web,Santa,1200,180.0,1020.0,750,270.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED083,PROD01,Producto A,Categoría 1,9,80,45,0.1,Tienda,Chimbote,720,72.0,648.0,405,243.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED084,PROD06,Producto F,Categoría 3,4,95,52,0.05,App,Lima,380,19.0,361.0,208,153.0,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED085,PROD03,Producto C,Categoría 2,7,55,30,0.0,Web,Trujillo,385,0.0,385.0,210,175.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED086,PROD07,Producto G,Categoría 4,6,150,90,0.12,Tienda,Santa,900,108.0,792.0,540,252.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED087,PROD05,Producto E,Categoría 3,13,35,18,0.08,App,Lima,455,36.4,418.6,234,184.60000000000002,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED088,PROD02,Producto B,Categoría 1,8,120,70,0.05,Web,Chimbote,960,48.0,912.0,560,352.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED089,PROD04,Producto D,Categoría 2,3,200,125,0.15,Tienda,Trujillo,600,90.0,510.0,375,135.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED090,PROD01,Producto A,Categoría 1,5,80,45,0.1,App,Lima,400,40.0,360.0,225,135.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED091,PROD06,Producto F,Categoría 3,7,95,52,0.05,Web,Santa,665,33.25,631.75,364,267.75,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED092,PROD03,Producto C,Categoría 2,11,55,30,0.0,Tienda,Chimbote,605,0.0,605.0,330,275.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED093,PROD07,Producto G,Categoría 4,2,150,90,0.12,App,Lima,300,36.0,264.0,180,84.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED094,PROD05,Producto E,Categoría 3,9,35,18,0.08,Web,Trujillo,315,25.2,289.8,162,127.80000000000001,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED095,PROD02,Producto B,Categoría 1,6,120,70,0.05,Tienda,Santa,720,36.0,684.0,420,264.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED096,PROD04,Producto D,Categoría 2,5,200,125,0.15,App,Lima,1000,150.0,850.0,625,225.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED097,PROD01,Producto A,Categoría 1,8,80,45,0.1,Web,Chimbote,640,64.0,576.0,360,216.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED098,PROD06,Producto F,Categoría 3,4,95,52,0.05,Tienda,Lima,380,19.0,361.0,208,153.0,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED099,PROD03,Producto C,Categoría 2,6,55,30,0.0,App,Trujillo,330,0.0,330.0,180,150.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED100,PROD07,Producto G,Categoría 4,5,150,90,0.12,Web,Santa,750,90.0,660.0,450,210.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED101,PROD05,Producto E,Categoría 3,15,35,18,0.08,Tienda,Lima,525,42.0,483.0,270,213.0,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED102,PROD02,Producto B,Categoría 1,7,120,70,0.05,App,Chimbote,840,42.0,798.0,490,308.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED103,PROD04,Producto D,Categoría 2,4,200,125,0.15,Web,Trujillo,800,120.0,680.0,500,180.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED104,PROD01,Producto A,Categoría 1,10,80,45,0.1,Tienda,Santa,800,80.0,720.0,450,270.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED105,PROD06,Producto F,Categoría 3,6,95,52,0.05,App,Lima,570,28.5,541.5,312,229.5,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED106,PROD03,Producto C,Categoría 2,8,55,30,0.0,Web,Chimbote,440,0.0,440.0,240,200.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED107,PROD07,Producto G,Categoría 4,3,150,90,0.12,Tienda,Trujillo,450,54.0,396.0,270,126.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED108,PROD05,Producto E,Categoría 3,11,35,18,0.08,App,Lima,385,30.8,354.2,198,156.2,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED109,PROD02,Producto B,Categoría 1,5,120,70,0.05,Web,Santa,600,30.0,570.0,350,220.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED110,PROD04,Producto D,Categoría 2,6,200,125,0.15,Tienda,Chimbote,1200,180.0,1020.0,750,270.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED111,PROD01,Producto A,Categoría 1,7,80,45,0.1,App,Lima,560,56.0,504.0,315,189.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED112,PROD06,Producto F,Categoría 3,5,95,52,0.05,Web,Trujillo,475,23.75,451.25,260,191.25,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED113,PROD03,Producto C,Categoría 2,9,55,30,0.0,Tienda,Santa,495,0.0,495.0,270,225.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED114,PROD07,Producto G,Categoría 4,4,150,90,0.12,App,Lima,600,72.0,528.0,360,168.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED115,PROD05,Producto E,Categoría 3,12,35,18,0.08,Web,Chimbote,420,33.6,386.4,216,170.39999999999998,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED116,PROD02,Producto B,Categoría 1,8,120,70,0.05,Tienda,Trujillo,960,48.0,912.0,560,352.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED117,PROD04,Producto D,Categoría 2,2,200,125,0.15,App,Lima,400,60.0,340.0,250,90.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED118,PROD01,Producto A,Categoría 1,9,80,45,0.1,Web,Santa,720,72.0,648.0,405,243.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED119,PROD06,Producto F,Categoría 3,3,95,52,0.05,Tienda,Chimbote,285,14.25,270.75,156,114.75,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED120,PROD03,Producto C,Categoría 2,7,55,30,0.0,App,Lima,385,0.0,385.0,210,175.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED121,PROD07,Producto G,Categoría 4,6,150,90,0.12,Web,Trujillo,900,108.0,792.0,540,252.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED122,PROD05,Producto E,Categoría 3,10,35,18,0.08,Tienda,Santa,350,28.0,322.0,180,142.0,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED123,PROD02,Producto B,Categoría 1,4,120,70,0.05,App,Lima,480,24.0,456.0,280,176.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED124,PROD04,Producto D,Categoría 2,5,200,125,0.15,Web,Chimbote,1000,150.0,850.0,625,225.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED125,PROD01,Producto A,Categoría 1,8,80,45,0.1,Tienda,Trujillo,640,64.0,576.0,360,216.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED126,PROD06,Producto F,Categoría 3,7,95,52,0.05,App,Lima,665,33.25,631.75,364,267.75,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED127,PROD03,Producto C,Categoría 2,5,55,30,0.0,Web,Santa,275,0.0,275.0,150,125.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED128,PROD07,Producto G,Categoría 4,3,150,90,0.12,Tienda,Chimbote,450,54.0,396.0,270,126.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED129,PROD05,Producto E,Categoría 3,14,35,18,0.08,App,Lima,490,39.2,450.8,252,198.8,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED130,PROD02,Producto B,Categoría 1,6,120,70,0.05,Web,Trujillo,720,36.0,684.0,420,264.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED131,PROD04,Producto D,Categoría 2,4,200,125,0.15,Tienda,Santa,800,120.0,680.0,500,180.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED132,PROD01,Producto A,Categoría 1,10,80,45,0.1,App,Lima,800,80.0,720.0,450,270.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED133,PROD06,Producto F,Categoría 3,5,95,52,0.05,Web,Chimbote,475,23.75,451.25,260,191.25,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED134,PROD03,Producto C,Categoría 2,8,55,30,0.0,Tienda,Trujillo,440,0.0,440.0,240,200.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED135,PROD07,Producto G,Categoría 4,4,150,90,0.12,App,Santa,600,72.0,528.0,360,168.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED136,PROD05,Producto E,Categoría 3,9,35,18,0.08,Web,Lima,315,25.2,289.8,162,127.80000000000001,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED137,PROD02,Producto B,Categoría 1,7,120,70,0.05,Tienda,Chimbote,840,42.0,798.0,490,308.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED138,PROD04,Producto D,Categoría 2,3,200,125,0.15,App,Trujillo,600,90.0,510.0,375,135.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED139,PROD01,Producto A,Categoría 1,6,80,45,0.1,Web,Lima,480,48.0,432.0,270,162.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED140,PROD06,Producto F,Categoría 3,8,95,52,0.05,Tienda,Santa,760,38.0,722.0,416,306.0,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED141,PROD03,Producto C,Categoría 2,10,55,30,0.0,App,Chimbote,550,0.0,550.0,300,250.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED142,PROD07,Producto G,Categoría 4,5,150,90,0.12,Web,Trujillo,750,90.0,660.0,450,210.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED143,PROD05,Producto E,Categoría 3,13,35,18,0.08,Tienda,Lima,455,36.4,418.6,234,184.60000000000002,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED144,PROD02,Producto B,Categoría 1,4,120,70,0.05,App,Santa,480,24.0,456.0,280,176.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED145,PROD04,Producto D,Categoría 2,6,200,125,0.15,Web,Chimbote,1200,180.0,1020.0,750,270.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED146,PROD01,Producto A,Categoría 1,9,80,45,0.1,Tienda,Trujillo,720,72.0,648.0,405,243.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED147,PROD06,Producto F,Categoría 3,3,95,52,0.05,App,Lima,285,14.25,270.75,156,114.75,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED148,PROD03,Producto C,Categoría 2,7,55,30,0.0,Web,Santa,385,0.0,385.0,210,175.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED149,PROD07,Producto G,Categoría 4,2,150,90,0.12,Tienda,Chimbote,300,36.0,264.0,180,84.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED150,PROD05,Producto E,Categoría 3,11,35,18,0.08,App,Lima,385,30.8,354.2,198,156.2,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED151,PROD02,Producto B,Categoría 1,8,120,70,0.05,Web,Trujillo,960,48.0,912.0,560,352.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED152,PROD04,Producto D,Categoría 2,5,200,125,0.15,Tienda,Santa,1000,150.0,850.0,625,225.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
